,,,T_DMSO_1,T_DMSO_2,T_DMSO_3,T_DMSO_4,T_DMSO_5,T_DMSO_6,T_BML_1,T_BML_2,T_BML_3,T_BML_4,T_BML_5,T603_BML_6
Compound Info,,,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,BML,BML,BML,BML,BML,BML
Dodecanoyl-sn-glycerol__Cn,Dodecanoyl-sn-glycerol,Dodecanoyl-sn-glycerol_m274.215_r6.65Cn,0.027455121,0.026869939,0.043128261,0.033057029,0.055452145,0.035459572,0.05864107,0.040794008,0.047351875,0.029117474,0.042637666,0.060403176
a-CEHC_a-tocopheronolactone__Cn,a-CEHC_a-tocopheronolactone_,a-CEHC_a-tocopheronolactone__m278.151_r5.8Cn,0.013782142,0.009039626,0.019957053,0.015225666,0.007716157,0.007394617,0.012072282,0.036781317,0.013111935,0.005571127,0.011944427,0.010049334
Linoelaidic Acid__Cp,Linoelaidic Acid,Linoelaidic Acid_m280.239_r7.11Cp,0.000907347,0.000624728,0.001462218,0.001199132,0.001381048,0.000891613,0.00188074,0.00255696,0.001201985,0.000743147,0.001299705,0.001506394
Octadecadienoic acid__Cp,Octadecadienoic acid,Octadecadienoic acid_m280.239_r8.4Cp,0.001069465,0.000548042,0.001114658,0.001662033,0.001291277,0.000778735,0.001301988,0.001853459,0.001101328,0.000700727,0.000897072,0.001388279
Linoleic Acid __Cp,Linoleic Acid ,Linoleic Acid _m280.239_r7.99Cp,0.0040209,0.002198981,0.004887694,0.006146395,0.003167872,0.001737669,0.004646711,0.006801772,0.003969265,0.002811308,0.002643143,0.003644774
Hydroxyheptadecadienoic acid__Cn,Hydroxyheptadecadienoic acid,Hydroxyheptadecadienoic acid_m282.22_r6.97Cn,0.010796074,0.013089622,0.01881333,0.01399445,0.027640404,0.016859595,0.022890627,0.018608721,0.02293158,0.014611589,0.020908875,0.030719678
Vaccenic acid __Cp,Vaccenic acid ,Vaccenic acid _m282.255_r8.67Cp,0.001128261,0.000716721,0.001566305,0.001723511,0.002060674,0.001068243,0.001840435,0.001860151,0.001604994,0.001047522,0.001254474,0.001904348
Octadecenoic acid__Cp,Octadecenoic acid,Octadecenoic acid_m282.255_r9.09Cp,0.007338877,0.005687661,0.008087763,0.009513573,0.009451228,0.006080437,0.009832667,0.009463868,0.008133715,0.004996442,0.006954608,0.011024775
Stearate__Cn,Stearate_,Stearate___m284.271_r7.36Cn,0.001589319,0.002666138,0.003479846,0.003658041,0.001988422,0.002097307,0.001608811,0.005291727,0.003443474,0.002477557,0.020672019,0.005293224
Tetradecanoylglycine__Cp,Tetradecanoylglycine,Tetradecanoylglycine_m285.23_r2.88Cp,0.004109883,0.003227179,0.004358363,0.001022237,0.006374447,0.005161988,0.005948838,0.002594115,0.004455096,0.002474353,0.002494721,0.003805706
Myristoylglycine__Cp,Myristoylglycine,Myristoylglycine_m285.23_r6.57Cp,0.004478935,0.001876982,0.005196368,0.005493083,0.004055052,0.002153984,0.005072064,0.00840854,0.003340986,0.002271432,0.002974433,0.00405713
Myristoylglycine__Cn,Myristoylglycine_,Myristoylglycine___m285.233_r7Cn,0,0.005598807,0.015379962,0.005584402,0.003701091,0.009022033,0.007163904,0.012568402,0.005397782,0.006793461,0.011012135,0.01108195
Hexadecanedioate__Cn,Hexadecanedioate_,Hexadecanedioate__m286.213_r4.65Cn,0.019191606,0.014517271,0.031178691,0.02570906,0.020356469,0.014629865,0.023628851,0.042184785,0.025579032,0.013979368,0.021260377,0.027742823
Methoxyhexadecanoic acid__Cn,Methoxyhexadecanoic acid_,Methoxyhexadecanoic acid___m286.25_r7.23Cn,0.013295186,0.016503144,0.024350763,0.016448116,0.022445933,0.025825171,0.029994237,0.030081563,0.031158658,0.013137817,0.027536725,0.027667585
Dihydroxypalmitic acid__Cn,Dihydroxypalmitic acid,Dihydroxypalmitic acid_m288.23_r7.21Cn,0.064332364,0.073962263,0.0757049,0.057614744,0.11686235,0.061571713,0.114476588,0.09794266,0.107437427,0.066461833,0.11067678,0.140257696
Androstenediol__Cp,Androstenediol,Androstenediol_m290.222_r6.43Cp,0.000723098,0.000425975,0.000816946,0.000683095,0.001284229,0.000780007,0.00104215,0.000966726,0.000998709,0.000567456,0.000428424,0.000961009
"12,13-EpOME__Cp","12,13-EpOME","12,13-EpOME_m296.234_r5.23Cp",0.006234487,0.002495296,0.006216228,0.006167177,0.005396694,0.003578044,0.007860799,0.008061778,0.005348592,0.003230885,0.00458348,0.006314814
Nonadecenoate__Cp,Nonadecenoate,Nonadecenoate_m296.27_r9.12Cp,0.001139041,0.000711003,0.001195877,0.001084747,0.001546814,0.000891255,0.001786737,0.001578682,0.001876684,0.000974197,0.001336456,0.001744095
9S-HOME__Cp,9S-HOME,9S-HOME_m298.25_r7.8Cp,0.001645924,0.000967618,0.001688148,0.002271718,0.001459978,0.000895349,0.002070929,0.002278974,0.001306082,0.000897456,0.001240933,0.001808018
9E-HOME__Cp,9E-HOME,9E-HOME_m298.25_r8.01Cp,0.010115541,0.006958111,0.011342891,0.016545794,0.008505782,0.005761951,0.012284607,0.018020401,0.011305242,0.006766768,0.008464824,0.012956025
